RESPONSIBLE_COMPANY,RANK,TOTAL_INCIDENTS,WATER_CONTAMINATION,MATERIAL_TO_WATER,TOTAL_FATALITIES,TOTAL_INJURED,STATES_INVOLVED
NOAA,72,15,0,14,0,0,HI|OR|MA|MS|NH
FLINT HILLS RESOURCES,73,15,0,4,0,0,TX|MN
DAIRY FARMERS OF AMERICA,74,15,0,2,1,2,NM|MO|MA|IL|CT|PA|IA
CARGILL,75,15,0,6,0,0,CO|MO|OH|KS|NE|IA|KY
COLUMBIA GAS TRANSMISSION,76,15,0,2,0,0,WV|TX
METRA,77,14,0,0,0,0,IL
SUBSEA 7,78,14,0,13,0,0,TX|XX
DEEP OCEAN GROUP,79,13,0,13,0,0,TX
SOLAR TRANSPORT,80,13,0,2,0,0,IA
TARGA RESOURCES LLC.,81,13,0,0,0,5,TX
USCG,82,13,0,13,0,0,LA|FL|VA|XX|CA|MD|AL|WA|MI|GU|TX
ANADARKO PETROLEUM CORPORATION,83,13,0,13,0,0,TX
"FORMOSA PLASTICS CORPORATION, TEXAS",84,13,0,0,0,0,TX
SEPTA,85,13,0,0,0,1,PA
AMERICAN AIRLINES,86,12,0,5,0,0,TN|XX|NY|TX|HI
COLONIAL PIPELINE,87,12,0,0,0,0,GA|NC|TX|VA
BROOKFIELD RENEWABLE,88,12,0,12,0,0,PA|ME
CANAL BARGE COMPANY,89,12,0,6,0,0,XX|TX|LA
EVERSOURCE,90,12,0,12,0,0,CT|MA
W&T OFFSHORE,91,12,0,11,0,0,TX
HARVEST MIDSTREAM,92,12,0,2,0,0,TX
HOLLY ENERGY PARTNERS,93,12,0,0,0,0,TX
FIRST ENERGY OHIO EDISON,94,12,0,11,0,0,OH
OLIN CORP,95,12,0,0,0,0,TX
NATIONAL GRID,96,12,0,7,0,3,NY|MA|XX
SYSCO,97,12,0,6,0,1,XX|NC|LA|WA|TX|FL
WHITE FLEET OPERATING,98,12,0,12,0,0,TX
CITGO PETROLEUM,99,11,0,2,0,0,IL|TX
W AND T OFFSHORE,100,11,0,9,0,0,TX|XX
XCEL ENERGY,101,11,0,6,0,13,WI|CO|MN
TARGA GAS PROCESSING,102,11,0,0,0,0,TX
MARTINEZ REFINING COMPANY,103,11,0,1,0,1,CA
SMITHFIELD FOODS,104,11,0,0,0,2,IA|KS|VA|IL|OH
GENERAL MILLS,105,11,0,1,0,0,OH|IA|MO
INTERNATIONAL PAPER,106,11,0,2,0,0,NC|OK|GA
CONSUMERS ENERGY,107,11,0,7,0,3,MI
CLEAN HARBORS ENVIRONMENTAL,108,11,0,0,0,0,MA
CARMAX,109,11,0,10,0,0,VA|NE|NH|OH
CENTERPOINT ENERGY,110,11,0,5,2,3,MN|TX|IN|XX
ENI US OPERATING,111,11,0,11,0,0,TX
DT MIDSTREAM,112,11,0,0,0,0,PA|WV|MI
EQUISTAR CHEMICALS,113,11,0,0,0,0,TX|IA
GOM SHELF LLC,114,11,0,11,0,0,TX
RACETRACK,115,11,0,10,0,0,GA|FL|LA|KY
LSB CHEMICAL  LLC,116,11,0,1,0,0,AL
HUNTINGTON INGALLS INC,117,10,0,10,0,0,VA
DCP MIDSTREAM,118,10,0,0,0,3,OK|NM|TX
ARMY CORP OF ENGINEERS,119,10,0,10,0,0,MS|ID|OR|MI|IL|IA|VA
ASCEND PERFORMANCE MATERIALS,120,10,0,1,0,0,AL|TX|FL
CHEMOURS,121,10,0,0,0,7,NC|NJ|TX|MS
CLEAN HARBORS,122,10,0,3,0,0,MA|WA|TX|LA|CA
LANDSTAR,123,10,0,0,0,1,FL|XX
LLOG EXPLORATION COMPANY,124,10,0,10,0,0,LA
MOTIVA ENTERPRISES,125,10,0,1,0,0,TX
TORRANCE REFINERY,126,10,0,0,0,0,CA
UNITED AIRLINES,127,10,0,3,0,0,IL|AZ
TRANSOCEAN,128,10,0,10,0,0,TX
WESTERN MIDSTREAM,129,10,0,0,0,1,TX
WORLD FUEL SERVICES,130,10,0,5,0,0,OH|WA
